Designator,Mid X,Mid Y,Rotation,Layer
C1,84.979,-40.8555,90.0,top
C2,85.0845,-35.728,0.0,top
C3,90.805,-40.8555,90.0,top
C4,90.5295,-35.728,180.0,top
C5,57.5,-42.0,0.0,top
J1,66.675,-53.975,90.0,top
J2,54.055,-33.545,270.0,top
J3,64.77,-36.83,180.0,top
J4,77.089,-35.53,180.0,top
R1,67.945,-46.38,90.0,top
R10,84.979,-46.38,90.0,top
R11,85.0845,-31.918,0.0,top
R12,90.805,-46.38,90.0,top
R13,90.5295,-31.918,180.0,top
R2,48.895,-46.38,90.0,top
R3,52.705,-46.38,90.0,top
R4,60.325,-46.38,90.0,top
R5,64.135,-46.38,90.0,top
R6,71.755,-46.38,90.0,top
R7,79.375,-46.38,90.0,top
R8,75.565,-46.38,90.0,top
R9,56.515,-46.38,90.0,top
